Recipe Title,Original Full Recipe Link,Notes,Tags
"Advertise With Us","http://www.saveur.com/article/Recipes/Classic-Dry-Fry-Green-Bean","",""
"Angel Hair with Shrimp and Peas (Serves 3)","http://www.myrecipes.com/recipe/angel-hair-shrimp-peas-50400000129632/","",""
"Arroz con Pollo","http://www.myrecipes.com/recipe/arroz-con-pollo-10000000592349/","",""
"Asparagus & Spring Onion Tart with Arugula & Mache Salad","http://www.blueapron.com/recipes/asparagus-spring-onion-tart-with-arugula-frisee-salad","",""
"Avocado Honey Dip","http://weelicious.com/2011/09/19/avocado-honey-dip/","",""
"Baby Blue Salad With Fresh Pears","http://www.myrecipes.com/recipe/baby-blue-salad-with-fresh-pears-10000001860265/","",""
"Bacon-Cheddar Muffins","http://www.myrecipes.com/recipe/bacon-cheddar-muffins-10000001875202/","",""
"Baked Shells","http://weelicious.com/2009/11/02/baked-shells/","",""
"Baked Ziti (serves 4-6)","http://weelicious.com/2009/02/22/baked-ziti/","",""
"Banana Wheat Germ Muffins","http://weelicious.com/2009/05/17/banana-wee-eat-germ-muffins/","",""
"Beef and Mushroom Ragù With Pappardelle","http://www.realsimple.com/food-recipes/browse-all-recipes/beef-mushroom-ragu-00100000086755/index.html","",""
"Berry Delicious Oatmeal (for 2)","http://weelicious.com/2010/08/30/berry-delicious-oatmeal/","",""
"Beth's Melt in Your Mouth Barbecue Ribs (Oven)","http://www.food.com/recipe/beths-melt-in-your-mouth-barbecue-ribs-oven-107786","",""
"Pasta with Sausage and Broccoli Rabe (Serves 3)","http://www.myrecipes.com/recipe/pasta-sausage-broccoli-rabe-50400000124784/","","Sausage,dinner,pasta"
"Braised Bok Choy, a Simple Shanghainese Dish","http://www.tastehongkong.com/recipes/braised-bok-choy-a-simple-shanghainese-dish/","",""
"Braised Pork Chops with Sweet Potatoes and Apples (for 2)","http://www.myrecipes.com/recipe/braised-pork-chops-sweet-potatoes-50400000116326/","",""
"Breaded Baked Pork Chops","http://www.food.com/recipe/breaded-baked-pork-chops-65350","",""
"Breakfast Casserole (Serves 4 to 6)","http://weelicious.com/2010/12/09/breakfast-casserole/","",""
"Brisket with Root Vegetables","http://www.myrecipes.com/recipe/brisket-root-vegetables-50400000126392/","",""
"Brown Sugar-Pecan Shortbread","http://www.myrecipes.com/recipe/brown-sugar-pecan-shortbread-10000001622514/","","christmas,cookies"
"Buttermilk Fried Chicken (serves 4)","http://www.simplyrecipes.com/recipes/buttermilk_fried_chicken/","",""
"Butternut Squash Gratin","http://www.myrecipes.com/recipe/butternut-squash-gratin-50400000131174/","",""
"Butterscotch Bars","http://www.myrecipes.com/recipe/butterscotch-bars-10000001886427/","","christmas,cookies,dessert"
"Candied Sweet Potatoes","http://allrecipes.com/recipe/candied-sweet-potatoes-5/","",""
"Carrot Snack Sticks","http://weelicious.com/2010/06/03/carrot-snack-sticks/","",""
"Carrots Vichy","http://www.food.com/recipe/carrots-vichy-373052","",""
"Cauliflower-Cheese Soup","http://www.myrecipes.com/recipe/cauliflower-cheese-soup-50400000125967/","",""
"Chicken and Black Bean-Stuffed Burritos","http://www.myrecipes.com/recipe/chicken-black-bean-burritos-50400000108353/","",""
"Chicken Cobb Salad with Smoky Bacon, Avocado and Blue Cheese","http://www.blueapron.com/recipes/chicken-cobb-salad-with-smoky-bacon-avocado-and-blue-cheese","",""
"Chicken Curry","http://weelicious.com/2010/12/22/contest-winner-day-3-chicken-curry/","",""
"Chicken Skewers with Peanut Sauce","http://www.myrecipes.com/recipe/chicken-skewers-peanut-sauce-50400000129365/","",""
"Chicken with Peanut-Butter Barbecue Sauce","http://www.myrecipes.com/recipe/chicken-peanut-butter-barbecue-50400000133915/","",""
"Chicken With Potatoes, Bacon, and Cabbage (serves 2)","http://www.realsimple.com/food-recipes/browse-all-recipes/chicken-potatoes-bacon-cabbage-00100000066432/index.html","",""
"Chicken-Butternut Tagine (serves 2)","http://www.myrecipes.com/recipe/chicken-butternut-tagine-10000001932643/","",""
"Chipotle Sweet Potatoes","http://www.myrecipes.com/recipe/chipotle-sweet-potatoes-50400000131175/","",""
"Classic Parmesan Scalloped Potatoes","http://www.myrecipes.com/recipe/classic-parmesan-scalloped-potatoes-10000001673167/","",""
"Classic Tuna Salad","http://fishcooking.about.com/od/smokebrine/r/tunafish.htm","","leftovers,lunch,sandwich,tuna"
"Crispy Breaded Shrimp with Garlicky Beans","http://www.myrecipes.com/recipe/crispy-breaded-shrimp-with-garlicky-beans-10000001707662/","",""
"Crumb-Topped Strawberry Rhubarb Pie","http://allrecipes.com/recipe/crumb-topped-strawberry-rhubarb-pie/","",""
"Curried Chicken Salad","http://www.foodnetwork.com/recipes/ina-garten/curried-chicken-salad-recipe/index.html","",""
"Curried Lentil Soup","http://www.myrecipes.com/recipe/curried-lentil-soup-50400000125961/","",""
"Curry Roasted Cauliflower","http://budgetbytes.blogspot.com/2011/10/curry-roasted-cauliflower-377-recipe.html","",""
"Double-Ginger Cookies","http://www.myrecipes.com/recipe/double-ginger-cookies-10000000364841/","","christmas,cookies"
"Full Irish Breakfast","http://www.mrbreakfast.com/superdisplay.asp","",""
"Eggplant Lasagna with Bechamel Sauce & Fresh Spinach Noodles","http://www.blueapron.com/recipes/free-form-eggplant-lasagna-with-spinach-noodles","",""
"Five-Spice Hanger Steaks with Stir-Fried Brown Rice","http://www.blueapron.com/recipes/five-spice-hanger-steak-with-stir-fried-brown-rice","",""
"French Onion Soup in a Sourdough Bread Bowl","http://www.blueapron.com/recipes/french-onion-soup-in-a-boule","",""
"French Toast on a Stick (for 2)","http://weelicious.com/2012/07/25/french-toast-on-a-stick/","",""
"French Toast Sticks (15 Sticks)","http://weelicious.com/2010/07/14/french-toast-sticks/","",""
"Ginger-Soy Tilapia (serves 2)","http://www.myrecipes.com/recipe/ginger-soy-tilapia-50400000129638/","",""
"Gingerbread Cookies","http://www.myrecipes.com/recipe/gingerbread-cookies-50400000117861/","","christmas,cookies"
"Gingersnaps","http://www.myrecipes.com/recipe/gingersnaps-10000001875660/","","christmas,cookies"
"Gingersnaps with Crystallized Ginger","http://www.myrecipes.com/recipe/gingersnaps-with-crystallized-ginger-10000001046906/","","christmas,cookies"
"Glazed Cod With Asparagus and Mushrooms","http://www.realsimple.com/food-recipes/browse-all-recipes/glazed-cod-asparagus-mushrooms-10000001720123/index.html","",""
"Gnocchi with Mushrooms and Gorgonzola Sauce","http://www.marthastewart.com/343525/gnocchi-with-mushrooms-and-gorgonzola-sa","",""
"Green Bean Casserole","http://www.food.com/recipe/green-bean-casserole-47102","",""
"Green Veggie Pancakes","http://weelicious.com/2012/01/17/green-veggie-pancakes/","",""
"Grilled Blackened Chicken Sandwich with Blue Cheese (Serves 2)","http://www.simplecomfortfood.com/2009/06/02/grilled-blackened-chicken-sandwich-with-blue-cheese/","","blue cheese,chicken,dinner,sandwich"
"Grilled Chicken and Orange Skewers With Zucchini Rice (serves 4)","http://www.realsimple.com/food-recipes/browse-all-recipes/grilled-chicken-orange-skewers-00000000056528/index.html","",""
"Grilled Kielbasa and Onion Sandwiches (serves 2)","http://www.myrecipes.com/recipe/grilled-kielbasa-onion-sandwiches-50400000128453/","",""
"Grilled Pork Chops With Sesame Slaw","http://www.realsimple.com/food-recipes/browse-all-recipes/grilled-pork-chops-cabbage-00000000000713/index.html","",""
"Grilled Sweet Potatoes with Chipotle Dip (serves 4)","http://www.myrecipes.com/recipe/sweet-potatoes-chipotle-dip-50400000128461/","",""
"Ham & Cheese Muffins","http://weelicious.com/2010/09/20/ham-cheese-muffins/","",""
"Harvest Salad (serves 5)","http://www.myrecipes.com/recipe/harvest-salad-50400000131183/","",""
"Hello Dolly Bars","http://www.myrecipes.com/recipe/hello-dolly-bars-10000001687691/","","christmas,cookies,dessert"
"Honey-Sesame Chicken Cutlets","http://www.myrecipes.com/recipe/honey-sesame-chicken-cutlets-50400000127800/","",""
"Irish Brown Bread","http://www.epicurious.com/recipes/food/views/Irish-Brown-Bread-109216","",""
"Juiciest Hamburgers Ever","http://allrecipes.com/recipe/juiciest-hamburgers-ever/detail.aspx","",""
"Korean-Style Scallion Pancakes with Cucumber Salad","http://www.blueapron.com/recipes/korean-style-scallion-pancakes-with-cucumber-salad","",""
"Kung Pao Chicken Tacos","http://www.blueapron.com/recipes/kung-pao-chicken-tacos","",""
"Linguine with White Clam Sauce","http://www.myrecipes.com/recipe/linguine-with-white-clam-sauce-10000001875228/","",""
"Low Carb Cauliflower Leek Soup","http://allrecipes.com/recipe/low-carb-cauliflower-leek-soup/","",""
"Mango Lassi","http://www.simplyrecipes.com/recipes/mango_lassi/","",""
"Maple-Date Bars","http://www.myrecipes.com/recipe/maple-date-bars-10000001120394/","","Desserts,christmas,cookies"
"Maple-Glazed Salmon With Roasted Brussels Sprouts (Serves 2)","http://www.realsimple.com/food-recipes/browse-all-recipes/maple-glazed-salmon-00100000074102/index.html","",""
"Mapo Tofu","http://appetiteforchina.com/recipes/mapo-doufu-mapo-tofu/","",""
"Meatball Subs with Red-Leaf Salad","http://www.blueapron.com/recipes/meatball-subs-with-red-leaf-salad","",""
"Mexican Muffins","http://weelicious.com/2012/08/01/ole-mexican-muffins/","",""
"Mini Sweet Potato Muffins","http://weelicious.com/2011/03/16/mini-sweet-potato-muffins/","",""
"Molasses-Spice Crinkles","http://www.myrecipes.com/recipe/molasses-spice-crinkles-10000001933484/","","christmas,cookies"
"Mu Shu Chicken","http://weelicious.com/2012/06/14/homemade-chinese-take-out-mu-shu-chicken/","",""
"Mushroom-Herb Chicken","http://www.myrecipes.com/recipe/mushroom-herb-chicken-10000001896107/","",""
"Mustard-Molasses Pork Chops (serves 2)","http://www.myrecipes.com/recipe/mustard-molasses-pork-chops-50400000128458/","",""
"Oatmeal Cookies","http://www.myrecipes.com/recipe/oatmeal-cookies-10000000780325/","","christmas,cookies"
"Oatmeal Toffee Cookies","http://www.myrecipes.com/recipe/oatmeal-toffee-cookies-10000001860062/","","christmas,cookies"
"Oatmeal, Chocolate Chip, and Pecan Cookies","http://www.myrecipes.com/recipe/oatmeal-chocolate-chip-pecan-cookies-10000001687693/","","christmas,cookies"
"Oaty Muffins","http://weelicious.com/2010/09/27/oaty-muffins/","",""
"Orange Date Muffins","http://weelicious.com/2009/01/18/orange-date-muffins/","",""
"Orange-Glazed Pork Tenderloin","http://www.myrecipes.com/recipe/orange-glazed-pork-tenderloin-50400000126393/","",""
"Pan-Grilled Pork Chops with Grilled Pineapple Salsa (2 servings)","http://www.myrecipes.com/recipe/pan-grilled-pork-chops-with-grilled-pineapple-salsa-10000001964007/","",""
"Pasta With Turkey and Broccoli","http://www.realsimple.com/food-recipes/browse-all-recipes/pasta-turkey-broccoli-00100000074825/index.html","",""
"PB&J Yogurt Swirl (Serves 4)","http://weelicious.com/2010/08/24/p-b-j-yogurt-swirl/","",""
"Peanut Butter Cookies with Butterscotch Bits","http://www.myrecipes.com/recipe/peanut-butter-cookies-with-butterscotch-bits-10000001911338/","",""
"Peanut-Squash Stew","http://www.realsimple.com/food-recipes/browse-all-recipes/peanut-squash-stew-10000000610467/index.html","",""
"Pear-Walnut Sandwiches","http://www.myrecipes.com/recipe/pear-walnut-sandwiches-10000001896119/","",""
"Pecan Squares","http://www.myrecipes.com/recipe/pecan-squares-10000001023670/","","christmas,cookies,dessert"
"Pecan-Crusted Trout (serves 2)","http://www.myrecipes.com/recipe/pecan-crusted-trout-10000001924700/","",""
"Perfect Mashed Potatoes (Serves 2-4)","http://www.marthastewart.com/341854/perfect-mashed-potatoes","",""
"Perfect Peanut Butter Blossoms","http://www.howsweeteats.com/2010/12/perfect-peanut-butter-blossoms/","",""
"Pistachio Couscous","http://www.myrecipes.com/recipe/pistachio-couscous-50400000110559/","",""
"Pizza Balls","http://weelicious.com/2011/06/27/pizza-ball-program-2/","",""
"Poached Halibut With Potatoes and Green Beans","http://www.realsimple.com/food-recipes/browse-all-recipes/poached-halibut-green-beans-red-potatoes-10000001046896/index.html","",""
"Pork Lo Mein (Serves 3)","http://www.myrecipes.com/recipe/pork-lo-mein-50400000115465/","",""
"Pork Tenderloin with Apples and Onion","http://www.myrecipes.com/recipe/pork-tenderloin-with-apples-50400000109034/","",""
"Pork Tenderloin with Sweet and Sour Cabbage","http://www.myrecipes.com/recipe/pork-tenderloin-cabbage-50400000116403/","",""
"Pot Sticker Salad With Snap Peas","http://www.realsimple.com/food-recipes/browse-all-recipes/pot-sticker-salad-00000000000671/index.html","",""
"Potato Perogi w/ Sauteed Cabbage and Apple (serves 4)","http://www.realsimple.com/food-recipes/browse-all-recipes/potato-pierogi-sauteed-cabbage-apples-10000001707688/index.html","",""
"Potato, Onion and Blue Cheese Soup (3 servings)","http://www.myrecipes.com/recipe/onion-blue-cheese-soup-50400000125960/","",""
"Protein Bars","http://weelicious.com/2008/09/08/protein-bars/","",""
"Quick Curried Chick Peas","http://budgetbytes.blogspot.com/2011/02/quick-curried-chick-peas-316-recipe-053.html","",""
"Ravioli With Roasted Zucchini","http://www.realsimple.com/food-recipes/browse-all-recipes/ravioli-roasted-zucchini-10000001038766/index.html","",""
"Ravioli With Sautéed Zucchini","http://www.realsimple.com/food-recipes/browse-all-recipes/ravioli-sauteed-zuchinni-00000000000704/index.html","",""
"Rigatoni Peperonata","http://www.realsimple.com/food-recipes/browse-all-recipes/rigatoni-pepernota-00000000037834/index.html","",""
"Rigatoni With Roasted Cauliflower and Brussels Sprouts","http://www.realsimple.com/food-recipes/browse-all-recipes/rigatoniw-cauliflower-brussels-sprouts-00100000086827/index.html","",""
"Roast Beef, Gouda, and Apple Sandwich (Serves 2)","http://www.realsimple.com/food-recipes/browse-all-recipes/roast-beef-gouda-apple-00000000041926/index.html","",""
"Roasted Chicken with Mustard Greens","http://www.myrecipes.com/recipe/roasted-chicken-mustard-greens-50400000130435/","",""
"Roasted Shrimp, Avocado and White Bean Salad (serves 2)","http://www.myrecipes.com/recipe/shrimp-avocado-white-bean-salad-50400000129364/","",""
"Salmon With Creamy Cucumber-Fennel Salad","http://www.realsimple.com/food-recipes/browse-all-recipes/salmon-cucumber-fennel-salad-00100000101250/index.html","",""
"Sausage Quiche","http://www.food.com/recipe/sausage-quiche-325082","",""
"Sauteed Broccoli","http://www.foodnetwork.com/recipes/food-network-kitchens/sauteed-broccoli-recipe.html","Saute garlic for 2 minutes. Add broccoli, chili flakes and salt. Cook for 6 to 8 minutes, until broccoli is tender.",""
"Sauteed Mushrooms","http://www.food.com/recipe/sauteed-mushrooms-36550","",""
"Seared Skirt Steak With Mushroom Salad","http://www.realsimple.com/food-recipes/browse-all-recipes/seared-skirt-steak-mushroom-00000000000716/index.html","",""
"Seared Tilapia With Watercress-Mango Salad","http://www.realsimple.com/food-recipes/browse-all-recipes/seared-tilapia-watercress-mango-salad-00000000027539/index.html","",""
"Shrimp Quinoa ""Fried Rice"" with Asparagus & English Peas","http://www.blueapron.com/recipes/shrimp-quinoa-fried-rice-with-purple-asparagus-english-peas","",""
"Shrimp Tacos (Serves 4)","http://www.myrecipes.com/recipe/shrimp-tacos-50400000130516/","","chipotle,dinner,shrimp,taco"
"Shrimp, Leek, and Spinach Pasta","http://www.realsimple.com/food-recipes/browse-all-recipes/shrimp-leek-spinach-pasta-00000000054576/index.html","",""
"Sichuan Dry-Fried Green Beans","http://appetiteforchina.com/recipes/sichuan-dried-fried-green-beans","",""
"Sichuan Eggplant or Pork (Yuxiang)","http://appetiteforchina.com/recipes/spicy-sichuan-eggplant-fish-fragrant-eggplant/","",""
"Skillet Stroganoff (Serves 3)","http://www.myrecipes.com/recipe/skillet-stroganoff-50400000125954/","",""
"Slow-Cooker Barbecue Chicken","http://www.myrecipes.com/recipe/slow-cooker-barbecue-chicken-50400000112435/","",""
"Slow-Cooker Chipotle Beef Tacos With Cabbage and Radish Slaw (Serves 3)","http://www.realsimple.com/food-recipes/browse-all-recipes/slow-cooker-chipotle-beef-tacos-with-cabbage-and-radish-slaw-00000000052367/index.html","",""
"Spaghetti with Butternut Squash","http://www.myrecipes.com/recipe/spaghetti-butternut-squash-50400000119192/","",""
"Spanish Omelet With Potatoes and Chorizo","http://www.realsimple.com/food-recipes/browse-all-recipes/spanish-omelet-potatoes-chorizo-10000001728851/index.html","",""
"Spiced Chicken Salad With Plums and Chickpeas","http://www.realsimple.com/food-recipes/browse-all-recipes/spiced-chicken-salad-plums-chickpeas-00000000060213/index.html","",""
"Steak With Golden Zucchini","http://www.realsimple.com/food-recipes/browse-all-recipes/steak-golden-zucchini-10000001639542/index.html","",""
"Steak With Roasted Parsnips, Tomatoes, and Scallions","http://www.realsimple.com/food-recipes/browse-all-recipes/steak-roasted-parsnips-00100000077204/index.html","",""
"Stir-Fried Pork, Snow Peas and Rice Noodles","http://www.myrecipes.com/recipe/stir-fried-pork-50400000110043/","",""
"Summer Pasta Bolognese (Serves 2)","http://www.realsimple.com/food-recipes/browse-all-recipes/summer-pasta-bolognese-00000000000712/index.html","",""
"Super-Easy Apricot Chicken","http://www.myrecipes.com/recipe/super-easy-apricot-chicken-10000001875473/","",""
"Sweet and Sour Meatballs (Serves 3-4)","http://www.foodnetwork.com/recipes/sweet-and-sour-meatballs-recipe/index.html","","beef,dinner,pork"
"Sweet Potato Fries","http://weelicious.com/2008/05/01/sweet-potato-fries/","",""
"Sweet Potato Pie with Marshmallow Topping","http://www.myrecipes.com/recipe/sweet-potato-pie-50400000130950/","",""
"Sweet-and-Spicy Chicken Stir-Fry (Serves 2)","http://www.myrecipes.com/recipe/sweet-spicy-chicken-50400000131166/","","chicken,dinner,stir fry"
"Swiss Chard With Chickpeas and Couscous (serves 2)","http://www.realsimple.com/food-recipes/browse-all-recipes/swiss-chard-chickpeas-couscous-10000001583602/index.html","",""
"Tex Mex Rice Cakes (14-16 cakes)","http://weelicious.com/2010/04/19/tex-mex-rice-cakes/","",""
"Thai Cucumber Salad","http://budgetbytes.blogspot.com/2009/07/thai-cucumber-salad.html","",""
"Thick, Chewy Chocolate Chip Cookies","http://www.myrecipes.com/recipe/thick-chewy-chocolate-chip-cookies-10000001160556/","","christmas,cookies"
"Tomato and White Bean Soup","http://www.myrecipes.com/recipe/tomato-white-bean-soup-50400000132805/","",""
"Traditional Macaroni & Cheese","http://www.verybestbaking.com/recipes/29515/Traditional-Macaroni--Cheese/detail.aspx","",""
"Turkey Burger Sliders with Brioche Buns & Toasted Hazelnut and Arugula Salad","http://www.blueapron.com/recipes/turkey-burger-sliders-with-arugula-salad","",""
"Turkey Burgers With Zucchini and Carrot (serves 2)","http://www.realsimple.com/food-recipes/browse-all-recipes/turkey-burgers-grated-zucchini-carrot-10000001617870/index.html","",""
"Turkey Chili Cheese Pie with Cornmeal Crust","http://www.myrecipes.com/recipe/turkey-chili-cheese-pie-cornmeal-50400000116319/","",""
"Twice Baked Potatoes (serves 2)","http://weelicious.com/2009/01/06/twice-baked-potatoes/","",""
"Veggie Casserole (serves 6)","http://weelicious.com/2009/05/11/veggie-casserole/","",""
"Veggie Pancakes","http://weelicious.com/2009/04/15/veggie-pancakes/","",""
"Veggie Pizza Sauce","http://weelicious.com/2012/09/13/veggie-heavy-pizza-sauce/","",""
"Very Berry Muffins","http://weelicious.com/2011/09/27/very-berry-muffins/","",""
"Winter Lentil Soup (serves 3)","http://www.realsimple.com/food-recipes/browse-all-recipes/winter-lentil-soup-10000001151425/index.html","",""
"Winter Waldorf Salad","http://www.myrecipes.com/recipe/winter-waldorf-salad-50400000116305/","",""
"Zucchini Cheddar Bread","http://weelicious.com/2012/07/05/zucchini-cheddar-bread/","",""
"Zucchini Muffins","http://weelicious.com/2010/03/10/zucchini-muffins/","",""
"Zucchini Pie","http://www.realsimple.com/food-recipes/browse-all-recipes/zucchini-pie-10000000780293/index.html","",""
